property_id,neighborhood_id,property_type,bedrooms,bathrooms,area_sqm,year_built,parking_spaces,floor,furnished,amenities,description
P0001,N06,Apartment,3,1,73,1997,1,4,1,balcony|rooftop|storage|parking|elevator,"Renovated 3-bedroom apartment in Old Town. Includes balcony, rooftop, storage, parking, elevator. 73 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0002,N02,House,4,4,199,1998,1,2,0,parking|gym|storage|elevator|security,"Modern 4-bedroom house in Midtown. Includes parking, gym, storage, elevator, security. 199 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0003,N02,House,2,3,268,1998,1,2,0,rooftop|security|gym|parking,"Quiet 2-bedroom house in Midtown. Includes rooftop, security, gym, parking. 268 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0004,N04,Apartment,2,3,86,1994,0,8,0,elevator|balcony|parking|rooftop|gym,"Bright 2-bedroom apartment in Lakeside. Includes elevator, balcony, parking, rooftop, gym. 86 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0005,N05,Apartment,4,2,73,2023,1,17,0,parking|rooftop,"Family-friendly 4-bedroom apartment in Greenfield. Includes parking, rooftop. 73 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0006,N03,Townhouse,2,4,119,2013,2,3,0,storage|parking|garden|balcony,"Family-friendly 2-bedroom townhouse in Northgate. Includes storage, parking, garden, balcony. 119 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0007,N02,Apartment,1,2,107,2015,0,4,0,balcony|parking|elevator,"Modern 1-bedroom apartment in Midtown. Includes balcony, parking, elevator. 107 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0008,N04,Townhouse,3,3,225,2004,2,2,1,storage|security|rooftop|gym,"Spacious 3-bedroom townhouse in Lakeside. Includes storage, security, rooftop, gym. 225 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0009,N01,Townhouse,4,2,221,2023,1,2,0,rooftop|parking|garden,"Spacious 4-bedroom townhouse in Riverside. Includes rooftop, parking, garden. 221 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0010,N06,House,2,2,326,1998,3,2,0,garden|elevator|rooftop,"Bright 2-bedroom house in Old Town. Includes garden, elevator, rooftop. 326 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0011,N01,Townhouse,3,2,194,2005,2,2,0,gym|garden,"Modern 3-bedroom townhouse in Riverside. Includes gym, garden. 194 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0012,N03,Apartment,1,1,140,1995,1,2,1,gym|balcony|elevator|storage|parking,"Modern 1-bedroom apartment in Northgate. Includes gym, balcony, elevator, storage, parking. 140 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0013,N04,House,6,4,253,2007,1,2,0,gym|security|storage|rooftop|garden,"Quiet 6-bedroom house in Lakeside. Includes gym, security, storage, rooftop, garden. 253 sqm with 4 bathroom(s), with convenient access to schools and transport."
P0014,N03,Apartment,3,3,170,2011,2,1,1,gym|rooftop,"Modern 3-bedroom apartment in Northgate. Includes gym, rooftop. 170 sqm with 3 bathroom(s), with convenient access to schools and transport."
P0015,N06,Apartment,3,1,45,2008,1,5,0,storage|elevator|balcony|security|rooftop,"Family-friendly 3-bedroom apartment in Old Town. Includes storage, elevator, balcony, security, rooftop. 45 sqm with 1 bathroom(s), with convenient access to schools and transport."
P0016,N04,Townhouse,3,2,131,1993,1,2,0,storage|rooftop|security|parking,"Quiet 3-bedroom townhouse in Lakeside. Includes storage, rooftop, security, parking. 131 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0017,N04,Apartment,4,2,84,1993,1,8,1,storage|gym|rooftop,"Modern 4-bedroom apartment in Lakeside. Includes storage, gym, rooftop. 84 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0018,N04,Apartment,3,2,122,2016,2,4,1,elevator|balcony|security,"Spacious 3-bedroom apartment in Lakeside. Includes elevator, balcony, security. 122 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0019,N06,House,4,5,155,2012,3,2,1,elevator|rooftop,"Quiet 4-bedroom house in Old Town. Includes elevator, rooftop. 155 sqm with 5 bathroom(s), with convenient access to schools and transport."
P0020,N05,Apartment,1,2,81,2012,1,14,0,rooftop|security|parking|elevator|garden,"Family-friendly 1-bedroom apartment in Greenfield. Includes rooftop, security, parking, elevator, garden. 81 sqm with 2 bathroom(s), with convenient access to schools and transport."
P0021,N03,Apartment,2,1,48,2022,0,8,1,rooftop|garden,"Family-friendly 2-bedroom apartment in Northgate. Includes rooftop, garden. 48 sqm with 1 bathroom(s), with convenient access to schools and transport."
